172.31.3.121,172.31.1.6,DNS,375,Standard query response 0x0379 A goallive.cdn.md CNAME mr.mc.cubecdn.net A 195.244.32.81 A 195.244.32.152 A 195.244.32.106 NS b.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,77,Standard query 0xe0a2 A mr.mc.cubecdn.net
172.31.3.121,172.31.1.6,DNS,346,Standard query response 0xe0a2 A mr.mc.cubecdn.net A 195.244.32.152 A 195.244.32.106 A 195.244.32.81 NS j.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net
4.2.2.3,172.31.3.121,DNS,96,Standard query response 0xb680 A desi.chat A 67.212.235.130 OPT
172.31.3.121,172.31.1.6,DNS,330,Standard query response 0x93d5 A www.desi.chat CNAME desi.chat A 67.212.235.130 NS f.root-servers.net NS b.root-servers.net NS i.root-servers.net NS k.root-servers.net NS e.root-servers.net NS c.root-servers.net NS j.root-servers.net NS l.root-servers.net NS m.root-servers.net NS g.root-servers.net NS a.root-servers.net NS d.root-servers.net NS h.root-servers.net A 198.41.0.4
4.2.2.1,172.31.3.121,DNS,110,Standard query response 0xda5b A downloadallsubtitle.com A 192.254.230.106 OPT
172.31.3.121,172.31.1.6,DNS,341,Standard query response 0xe031 A www.downloadallsubtitle.com CNAME downloadallsubtitle.com A 192.254.230.106 NS c.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net
4.2.2.3,172.31.3.121,DNS,690,Standard query response 0xa371 No such name DS imiedkcsyalj SOA a.root-servers.net RRSIG NSEC aaa RRSIG NSEC immo RRSIG OPT
172.31.1.6,172.31.3.121,DNS,83,Standard query 0xd56a A downloadallsubtitle.com
74.82.42.42,172.31.3.121,DNS,174,Standard query response 0xff70 A tj.symcd.com CNAME ocsp-ds.ws.symantec.com.edgekey.net CNAME e8218.dscb1.akamaiedge.net A 23.43.75.27
172.31.3.121,172.31.1.6,DNS,323,Standard query response 0xd56a A downloadallsubtitle.com A 192.254.230.106 NS j.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net
172.31.1.6,172.31.137.241,DNS,117,Standard query response 0xa543 A www.downloadallsubtitle.com CNAME downloadallsubtitle.com A 192.254.230.106
172.31.1.6,172.31.137.241,DNS,117,Standard query response 0xa543 A www.downloadallsubtitle.com CNAME downloadallsubtitle.com A 192.254.230.106
4.2.2.3,172.31.3.121,DNS,458,Standard query response 0xd179 NS net NS l.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net RRSIG OPT
172.31.122.213,172.31.1.6,DNS,89,Standard query 0x6bbc A downloads9.kaspersky-labs.com
172.31.1.6,172.31.3.121,DNS,89,Standard query 0x25fc A downloads9.kaspersky-labs.com
172.31.1.6,172.31.3.121,DNS,69,Standard query 0xc453 A desi.chat
