4.2.2.2,172.31.3.121,DNS,802,Standard query response 0xb64f DS tumblr.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,342,Standard query response 0x8457 A tumblr.com A 66.6.42.30 A 66.6.43.30 A 66.6.41.30 NS c.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net
208.67.220.123,172.31.3.121,DNS,224,Standard query response 0xba11 A dsn6.skype-dsn.akadns.net A 157.55.56.141 A 157.55.56.171 A 64.4.23.170 A 65.55.223.18 A 64.4.23.168 A 157.56.52.30 A 157.55.56.156 A 157.55.56.148 OPT
172.31.122.36,172.31.1.6,DNS,87,Standard query 0xf22a A star-mini.c10r.facebook.com
172.31.122.36,172.31.1.6,DNS,76,Standard query 0x165e A www.facebook.com
172.31.3.121,172.31.1.6,DNS,434,Standard query response 0x1922 A dsn6.skype-dsn.akadns.net A 64.4.23.168 A 64.4.23.170 A 65.55.223.18 A 157.55.56.148 A 157.55.56.171 A 157.55.56.141 A 157.56.52.30 A 157.55.56.156 NS b.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net
172.31.122.36,172.31.1.6,DNS,87,Standard query 0x1949 AAAA star-mini.c10r.facebook.com
172.31.12.245,172.31.1.6,DNS,76,Standard query 0x0310 A www.facebook.com
172.31.1.6,172.31.12.245,DNS,121,Standard query response 0x0310 A www.facebook.com CNAME star-mini.c10r.facebook.com A 31.13.90.36
209.244.0.4,172.31.3.121,DNS,383,Standard query response 0xbad6 NS 172.in-addr.arpa NS arin.authdns.ripe.net NS r.arin.net NS u.arin.net NS x.arin.net NS z.arin.net NS y.arin.net RRSIG OPT
172.31.148.113,172.31.1.6,DNS,73,Standard query 0x3258 A wafmedia6.com
4.2.2.2,172.31.3.121,DNS,801,Standard query response 0x3f46 DS giphy.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,309,Standard query response 0xc230 A giphy.com A 104.16.11.250 NS m.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net
172.31.109.98,172.31.1.6,DNS,75,Standard query 0xbeee A docs.disqus.com
172.31.120.218,172.31.1.6,DNS,88,Standard query 0x4535 A asia.api.targetingmantra.com
172.31.1.6,172.31.139.212,DNS,136,Standard query response 0xd371 A graph.facebook.com CNAME api.facebook.com CNAME star.c10r.facebook.com A 31.13.79.246
4.2.2.2,172.31.3.121,DNS,71,Standard query response 0xe32e Refused DS trackjs.com
172.31.120.218,172.31.1.6,DNS,88,Standard query 0x5ef2 A asia.api.targetingmantra.com
172.31.108.155,172.31.1.6,DNS,83,Standard query 0xdbc2 A ctldl.windowsupdate.com
4.2.2.2,172.31.3.121,DNS,143,Standard query response 0x3954 A secure.livechatinc.com CNAME jvdgr.x.incapdns.net A 107.154.253.55 OPT
8.8.8.8,172.31.204.243,DNS,99,Standard query response 0x71ef A master11.teamviewer.com A 178.77.120.100
208.67.222.222,172.31.3.121,DNS,163,Standard query response 0x8b62 DS doubleverify.com SOA a.gtld-servers.net OPT
172.31.1.6,172.31.139.212,DNS,282,Standard query response 0xc7b3 A settings.crashlytics.com CNAME settings-crashlytics-1410998606.us-east-1.elb.amazonaws.com A 54.197.255.113 A 54.225.152.187 A 54.221.198.134 A 54.225.181.88 A 54.225.215.77 A 54.221.209.225 A 54.227.238.44 A 54.235.247.104
209.244.0.4,172.31.3.121,DNS,109,Standard query response 0x2063 A e1503.g.akamaiedge.net A 104.69.12.92 OPT
